participant,Pointing From,Target Building,Correct Ans,Pointing To,Angular Error
392,Sauer,Harvey,23.09134403,71.88506,48.79371597
392,Sauer,Golledge,51.85616181,50.387,1.46916181
392,Sauer,Snow,89.63525726,87.88672,1.74853726
392,Sauer,Tobler,2.713388186,2.933182,0.219793814
392,Sauer,Harris,4.240040564,30.88754,26.64749944
392,Sauer,Batty,6.744508622,22.39121,15.64670138
392,Sauer,Lynch,17.76205492,13.89319,3.86886492
392,Tobler,Harris,173.2852643,44.11824,129.1670243
392,Tobler,Golledge,67.30353066,70.6169,3.31336934
392,Tobler,Sauer,20.69981416,20.39004,0.30977416
392,Tobler,Batty,171.0086651,51.11639,119.8922751
392,Tobler,Snow,38.78279809,30.61982,8.16297809
392,Tobler,Lynch,156.2355625,57.11533,99.1202325
392,Tobler,Harvey,147.248191,19.12165,128.126541
401,Batty,Tobler,37.30802198,40.1821,2.87407802
401,Batty,Snow,48.19947553,62.67868,14.47920447
401,Batty,Lynch,47.32798389,39.33313,7.99485389
401,Batty,Sauer,30.3316951,3.27034,27.0613551
401,Batty,Golledge,51.76768154,66.67745,14.90976846
401,Batty,Harris,37.5286373,78.67488,41.1462427
401,Batty,Harvey,93.19423766,61.67844,31.51579766
401,Lynch,Golledge,3.323863738,65.25405,61.93018626
401,Lynch,Batty,130.6542463,127.2478,3.4064463
401,Lynch,Snow,8.968174613,40.75748,31.78930539
401,Lynch,Tobler,17.95076442,23.25962,5.30885558
401,Lynch,Sauer,29.20903342,29.25974,0.05070658
401,Lynch,Harris,7.021704671,4.305343,2.716361671
401,Lynch,Harvey,48.19593801,4.305343,43.89059501
401,Harris,Sauer,110.6574336,44.21767,66.4397636
401,Harris,Tobler,99.95984558,104.2159,4.25605442
401,Harris,Lynch,114.5627943,106.7159,7.8468943
401,Harris,Snow,84.7281122,143.782,59.0538878
401,Harris,Batty,83.35216568,75.7842,7.56796568
401,Harris,Harvey,2.146796904,103.7172,101.5704031
401,Harris,Golledge,77.71082192,148.7812,71.07037808
401,Harvey,Lynch,32.28246429,27.28516,4.99730429
401,Harvey,Snow,66.19140238,87.78259,21.59118762
401,Harvey,Tobler,42.14615863,87.78259,45.63643137
401,Harvey,Harris,4.196894849,19.28645,15.08955515
401,Harvey,Golledge,64.9530254,73.78413,8.8311046
401,Harvey,Batty,46.54689912,12.28846,34.25843912
401,Harvey,Sauer,46.29205396,32.28497,14.00708396
401,Golledge,Batty,173.5694617,99.3869,74.1825617
401,Golledge,Snow,1.204134401,93.38734,92.1832056
401,Golledge,Harvey,139.9309368,16.66346,123.2674768
401,Golledge,Sauer,76.21088344,80.89085,4.67996656
401,Golledge,Harris,176.2022806,177.0675,0.8652194
401,Golledge,Lynch,173.9683139,135.8732,38.0951139
401,Golledge,Tobler,147.0284471,167.3203,20.2918529
401,Snow,Lynch,79.44851915,85.84016,6.39164085
401,Snow,Harvey,119.6929579,79.34057,40.3523879
401,Snow,Tobler,63.69277617,54.34384,9.34893617
401,Snow,Batty,90.64700942,103.3403,12.69329058
401,Snow,Sauer,0.279262352,4.892407,4.613144648
401,Snow,Harris,88.09346154,88.83962,0.74615846
401,Snow,Golledge,125.8431145,126.8371,0.9939855
401,Sauer,Tobler,2.713388186,13.62608,10.91269181
401,Sauer,Snow,89.63525726,83.88724,5.74801726
401,Sauer,Harvey,23.09134403,11.89376,11.19758403
401,Sauer,Golledge,51.85616181,50.38762,1.46854181
401,Sauer,Batty,6.744508622,47.11868,40.37417138
401,Sauer,Lynch,17.76205492,27.39299,9.63093508
401,Sauer,Harris,4.240040564,68.38746,64.14741944
401,Tobler,Harvey,147.248191,24.12118,123.127011
401,Tobler,Snow,38.78279809,3.159325,35.62347309
401,Tobler,Lynch,156.2355625,59.61541,96.6201525
401,Tobler,Sauer,20.69981416,148.8812,128.1813858
401,Tobler,Batty,171.0086651,107.6139,63.3947651
401,Tobler,Harris,173.2852643,54.11589,119.1693743
401,Tobler,Golledge,67.30353066,88.6148,21.31126934
419,Batty,Snow,48.19947553,51.68028,3.48080447
419,Batty,Harris,37.5286373,56.67915,19.1505127
419,Batty,Tobler,37.30802198,71.82629,34.51826802
419,Batty,Sauer,30.3316951,37.83168,7.4999849
419,Batty,Golledge,51.76768154,99.67452,47.90683846
419,Batty,Lynch,47.32798389,50.32788,2.99989611
419,Batty,Harvey,93.19423766,56.17897,37.01526766
419,Lynch,Batty,130.6542463,130.2516,0.4026463
419,Lynch,Harris,7.021704671,45.25703,38.23532533
419,Lynch,Harvey,48.19593801,23.26198,24.93395801
419,Lynch,Tobler,17.95076442,117.245,99.29423558
419,Lynch,Sauer,29.20903342,64.74987,35.54083658
419,Lynch,Golledge,3.323863738,51.75662,48.43275626
419,Lynch,Snow,8.968174613,19.26184,10.29366539
419,Harris,Harvey,2.146796904,22.21975,20.0729531
419,Harris,Snow,84.7281122,53.21901,31.5091022
419,Harris,Tobler,99.95984558,147.781,47.82115442
419,Harris,Sauer,110.6574336,178.1801,67.5226664
419,Harris,Batty,83.35216568,89.78288,6.43071432
419,Harris,Lynch,114.5627943,46.7182,67.8445943
419,Harris,Golledge,77.71082192,112.783,35.07217808
419,Harvey,Harris,4.196894849,65.78285,61.58595515
419,Harvey,Snow,66.19140238,98.28291,32.09150762
419,Harvey,Tobler,42.14615863,20.78602,21.36013863
419,Harvey,Batty,46.54689912,25.21989,21.32700912
419,Harvey,Lynch,32.28246429,2.807074,29.47539029
419,Harvey,Golledge,64.9530254,28.2856,36.6674254
419,Harvey,Sauer,46.29205396,93.28319,46.99113604
419,Golledge,Sauer,76.21088344,76.89819,0.68730656
419,Golledge,Snow,1.204134401,2.498262,1.294127599
419,Golledge,Lynch,173.9683139,146.3667,27.6016139
419,Golledge,Harris,176.2022806,150.3621,25.8401806
419,Golledge,Tobler,147.0284471,117.8797,29.1487471
419,Golledge,Batty,173.5694617,172.9832,0.5862617
419,Golledge,Harvey,139.9309368,141.0928,1.1618632
419,Snow,Tobler,63.69277617,49.34235,14.35042617
419,Snow,Harris,88.09346154,103.8383,15.74483846
419,Snow,Lynch,79.44851915,34.66503,44.78348915
419,Snow,Sauer,0.279262352,6.876433,6.597170648
419,Snow,Harvey,119.6929579,65.34099,54.3519679
419,Snow,Batty,90.64700942,126.3347,35.68769058
419,Snow,Golledge,125.8431145,175.7769,49.9337855
419,Sauer,Batty,6.744508622,10.39606,3.651551378
419,Sauer,Snow,89.63525726,89.88763,0.25237274
419,Sauer,Harris,4.240040564,26.38539,22.14534944
419,Sauer,Tobler,2.713388186,8.630854,5.917465814
419,Sauer,Lynch,17.76205492,25.39189,7.62983508
419,Sauer,Harvey,23.09134403,51.88789,28.79654597
419,Sauer,Golledge,51.85616181,83.38486,31.52869819
419,Tobler,Lynch,156.2355625,119.115,37.1205625
419,Tobler,Batty,171.0086651,168.6037,2.4049651
419,Tobler,Harvey,147.248191,32.61912,114.629071
419,Tobler,Snow,38.78279809,39.11873,0.33593191
419,Tobler,Sauer,20.69981416,4.149826,16.54998816
419,Tobler,Harris,173.2852643,81.61681,91.6684543
419,Tobler,Golledge,67.30353066,53.11747,14.18606066
441,Batty,Harvey,93.19423766,17.34108,75.85315766
441,Batty,Sauer,30.3316951,50.67943,20.3477349
441,Batty,Golledge,51.76768154,73.17699,21.40930846
441,Batty,Tobler,37.30802198,63.67786,26.36983802
441,Batty,Harris,37.5286373,27.68628,9.8423573
441,Batty,Lynch,47.32798389,76.32625,28.99826611
441,Batty,Snow,48.19947553,45.82674,2.37273553
441,Lynch,Batty,130.6542463,130.2513,0.4029463
441,Lynch,Golledge,3.323863738,9.277012,5.953148262
441,Lynch,Tobler,17.95076442,37.25691,19.30614558
441,Lynch,Harvey,48.19593801,68.75158,20.55564199
441,Lynch,Snow,8.968174613,10.77278,1.804605387
441,Lynch,Harris,7.021704671,25.75619,18.73448533
441,Lynch,Sauer,29.20903342,25.25989,3.94914342
441,Harris,Harvey,2.146796904,132.7823,130.6355031
441,Harris,Golledge,77.71082192,9.790148,67.92067392
441,Harris,Snow,84.7281122,88.21629,3.4881778
441,Harris,Tobler,99.95984558,40.2186,59.74124558
441,Harris,Batty,83.35216568,131.7825,48.43033432
441,Harris,Lynch,114.5627943,17.22056,97.3422343
441,Harris,Sauer,110.6574336,119.2834,8.6259664
441,Harvey,Tobler,42.14615863,70.2828,28.13664137
441,Harvey,Harris,4.196894849,42.78445,38.58755515
441,Harvey,Sauer,46.29205396,23.7855,22.50655396
441,Harvey,Lynch,32.28246429,98.78262,66.50015571
441,Harvey,Batty,46.54689912,79.28345,32.73655088
441,Harvey,Golledge,64.9530254,8.79053,56.1624954
441,Harvey,Snow,66.19140238,82.78302,16.59161762
441,Golledge,Harvey,139.9309368,13.1773,126.7536368
441,Golledge,Harris,176.2022806,46.90336,129.2989206
441,Golledge,Tobler,147.0284471,129.8757,17.1527471
441,Golledge,Batty,173.5694617,15.66696,157.9025017
441,Golledge,Snow,1.204134401,3.183646,1.979511599
441,Golledge,Lynch,173.9683139,77.39112,96.5771939
441,Golledge,Sauer,76.21088344,178.2619,102.0510166
441,Snow,Lynch,79.44851915,96.33886,16.89034085
441,Snow,Batty,90.64700942,81.84034,8.80666942
441,Snow,Golledge,125.8431145,134.3352,8.4920855
441,Snow,Harris,88.09346154,139.1516,51.05813846
441,Snow,Sauer,0.279262352,12.36459,12.08532765
441,Snow,Harvey,119.6929579,25.16573,94.5272279
441,Snow,Tobler,63.69277617,90.3399,26.64712383
441,Sauer,Lynch,17.76205492,29.89075,12.12869508
441,Sauer,Golledge,51.85616181,46.38736,5.46880181
441,Sauer,Tobler,2.713388186,11.62702,8.913631814
441,Sauer,Harvey,23.09134403,70.88505,47.79370597
441,Sauer,Harris,4.240040564,98.88447,94.64442944
441,Sauer,Batty,6.744508622,74.38429,67.63978138
441,Sauer,Snow,89.63525726,25.89003,63.74522726
441,Tobler,Snow,38.78279809,103.6152,64.83240191
441,Tobler,Lynch,156.2355625,2.179424,154.0561385
441,Tobler,Sauer,20.69981416,101.1156,80.41578584
441,Tobler,Harris,173.2852643,83.61687,89.6683943
441,Tobler,Harvey,147.248191,54.61806,92.630131
441,Tobler,Batty,171.0086651,87.61581,83.3928551
441,Tobler,Golledge,67.30353066,6.637435,60.66609566
523,Batty,Sauer,30.3316951,61.17872,30.8470249
523,Batty,Tobler,37.30802198,35.18303,2.12499198
523,Batty,Golledge,51.76768154,10.2033,41.56438154
523,Batty,Lynch,47.32798389,31.33555,15.99243389
523,Batty,Harvey,93.19423766,83.6768,9.51743766
523,Batty,Harris,37.5286373,27.68713,9.8415073
523,Batty,Snow,48.19947553,44.68151,3.51796553
523,Lynch,Tobler,17.95076442,15.76616,2.18460442
523,Lynch,Golledge,3.323863738,9.271841,5.947977262
523,Lynch,Batty,130.6542463,129.2475,1.4067463
523,Lynch,Harris,7.021704671,12.76982,5.748115329
523,Lynch,Sauer,29.20903342,49.7555,20.54646658
523,Lynch,Harvey,48.19593801,28.26056,19.93537801
523,Lynch,Snow,8.968174613,47.75451,38.78633539
523,Harris,Batty,83.35216568,75.78441,7.56775568
523,Harris,Tobler,99.95984558,0.8636609,99.09618468
523,Harris,Golledge,77.71082192,55.21701,22.49381192
523,Harris,Lynch,114.5627943,103.7835,10.7792943
523,Harris,Snow,84.7281122,7.226346,77.5017662
523,Harris,Harvey,2.146796904,21.78584,19.6390431
523,Harris,Sauer,110.6574336,28.78501,81.8724236
523,Harvey,Batty,46.54689912,32.2846,14.26229912
523,Harvey,Snow,66.19140238,78.78353,12.59212762
523,Harvey,Tobler,42.14615863,54.78379,12.63763137
523,Harvey,Golledge,64.9530254,104.7826,39.8295746
523,Harvey,Harris,4.196894849,76.78321,72.58631515
523,Harvey,Lynch,32.28246429,54.78336,22.50089571
523,Harvey,Sauer,46.29205396,19.78657,26.50548396
