participant,date,model number,building,x,y,error
748,12/7/2018 13:33,0,Batty House,55,58,215.8240024
748,12/7/2018 13:33,0,Lynch Station,241,38,244.6160256
748,12/7/2018 13:33,0,Harvey House,581,447,289.5047495
748,12/7/2018 13:33,0,Tobler Museum,415,368,258.069758
748,12/7/2018 13:33,0,Sauer Center,255,446,575.6570159
748,12/7/2018 13:33,0,Harris Hall,93,264,127.7810628
748,12/7/2018 13:33,0,Golledge Hall,409,206,176.7766953
748,12/7/2018 13:33,0,Snow Church,225,376,519.9249946
775,1/11/2019 13:04,0,Batty House,45,204,70.34202158
775,1/11/2019 13:04,0,Lynch Station,230,3,249.3290998
775,1/11/2019 13:04,0,Harris Hall,248,301,81.9390017
775,1/11/2019 13:04,0,Harvey House,495,366,233.5851023
775,1/11/2019 13:04,0,Golledge Hall,687,140,194.7562579
775,1/11/2019 13:04,0,Snow Church,597,39,204.247399
775,1/11/2019 13:04,0,Sauer Center,394,77,241.9607406
775,1/11/2019 13:04,0,Tobler Museum,417,246,145.4372717
778,4/26/2019 13:03,0,Batty House,154,424,198.0732188
778,4/26/2019 13:03,0,Lynch Station,84,245,140.8012784
778,4/26/2019 13:03,0,Golledge Hall,528,317,44.40720662
778,4/26/2019 13:03,0,Snow Church,364,227,352.6868299
778,4/26/2019 13:03,0,Sauer Center,410,102,235.8686075
778,4/26/2019 13:03,0,Tobler Museum,280,26,233.6343297
778,4/26/2019 13:03,0,Harvey House,66,17,520.5842871
778,4/26/2019 13:03,0,Harris Hall,89,147,148.7178537
819,11/27/2018 14:00,0,Tobler Museum,618,221,159.4553229
819,11/27/2018 14:00,0,Sauer Center,516,415,424.2416764
819,11/27/2018 14:00,0,Snow Church,432,86,307.9236918
819,11/27/2018 14:00,0,Harvey House,677,40,587.1234964
819,11/27/2018 14:00,0,Golledge Hall,252,484,366.8691865
819,11/27/2018 14:00,0,Harris Hall,325,261,115.4339638
819,11/27/2018 14:00,0,Lynch Station,41,216,96.46242792
819,11/27/2018 14:00,0,Batty House,26,14,258.001938
841,4/22/2019 11:35,0,Batty House,82,45,233.5679773
841,4/22/2019 11:35,0,Lynch Station,137,96,128.097619
841,4/22/2019 11:35,0,Harris Hall,248,376,153.5871088
841,4/22/2019 11:35,0,Harvey House,449,470,155.724115
841,4/22/2019 11:35,0,Golledge Hall,633,348,89.49860334
841,4/22/2019 11:35,0,Snow Church,582,176,137.1021517
841,4/22/2019 11:35,0,Sauer Center,412,154,259.9423013
841,4/22/2019 11:35,0,Tobler Museum,390,315,218.7647138
860,3/15/2019 11:52,0,Batty House,69,458,190.682983
860,3/15/2019 11:52,0,Lynch Station,167,386,304.415834
860,3/15/2019 11:52,0,Harris Hall,367,334,186.4617923
860,3/15/2019 11:52,0,Harvey House,380,176,320.7444466
860,3/15/2019 11:52,0,Golledge Hall,141,85,470.4944208
860,3/15/2019 11:52,0,Snow Church,398,28,363.9409293
860,3/15/2019 11:52,0,Sauer Center,237,196,432.4638713
860,3/15/2019 11:52,0,Tobler Museum,56,257,457.377306
1000,2/5/2019 13:15,0,Tobler Museum,509,11,112.1472247
1000,2/5/2019 13:15,0,Sauer Center,39,183,612.4377519
1000,2/5/2019 13:15,0,Harvey House,27,14,541.4148132
1000,2/5/2019 13:15,0,Snow Church,77,434,678.7945197
1000,2/5/2019 13:15,0,Harris Hall,607,199,392.9287467
1000,2/5/2019 13:15,0,Batty House,589,517,613.0815606
1000,2/5/2019 13:15,0,Golledge Hall,436,223,144.9413675
1000,2/5/2019 13:15,0,Lynch Station,268,427,396.6673669
3222,11/13/2018 14:27,0,Lynch Station,634,105,622.2901253
3222,11/13/2018 14:27,0,Batty House,414,225,389.8435584
3222,11/13/2018 14:27,0,Tobler Museum,114,379,457.9192068
3222,11/13/2018 14:27,0,Sauer Center,110,255,572.4727068
3222,11/13/2018 14:27,0,Golledge Hall,399,330,169.5464538
3222,11/13/2018 14:27,0,Snow Church,311,246,407.0700185
3222,11/13/2018 14:27,0,Harvey House,544,-3,548.3101312
3222,11/13/2018 14:27,0,Harris Hall,474,167,265.635088
3229,3/15/2019 14:21,0,Batty House,84,524,258.3660194
3229,3/15/2019 14:21,0,Lynch Station,39,336,213.7124236
3229,3/15/2019 14:21,0,Harris Hall,261,358,139.78555
3229,3/15/2019 14:21,0,Golledge Hall,533,262,42.44997055
3229,3/15/2019 14:21,0,Sauer Center,276,118,366.8378388
3229,3/15/2019 14:21,0,Snow Church,502,135,225.1577225
3229,3/15/2019 14:21,0,Tobler Museum,352,287,217.039167
3229,3/15/2019 14:21,0,Harvey House,734,311,473.1553656
3355,10/19/2018 13:18,0,Batty House,189,490,271.6026509
3355,10/19/2018 13:18,0,Lynch Station,82,318,206.2425756
3355,10/19/2018 13:18,0,Harris Hall,290,264,84.07734534
3355,10/19/2018 13:18,0,Harvey House,556,455,263.7119641
3355,10/19/2018 13:18,0,Sauer Center,45,36,580.8278575
3355,10/19/2018 13:18,0,Tobler Museum,99,142,394.5072876
3355,10/19/2018 13:18,0,Snow Church,508,242,211.2652361
3355,10/19/2018 13:18,0,Golledge Hall,371,142,243.8237068
3356,2/22/2019 13:48,0,Batty House,55,325,59.94163828
3356,2/22/2019 13:48,0,Lynch Station,192,391,322.0077639
3356,2/22/2019 13:48,0,Harris Hall,482,412,325.3997541
3356,2/22/2019 13:48,0,Harvey House,610,281,376.1276379
3356,2/22/2019 13:48,0,Golledge Hall,468,129,188.3082579
3356,2/22/2019 13:48,0,Snow Church,374,81,363.7856512
3356,2/22/2019 13:48,0,Sauer Center,171,62,457.5642031
3356,2/22/2019 13:48,0,Tobler Museum,59,162,435.83942
3480,2/25/2019 14:04,0,Golledge Hall,165,43,469.7925074
3480,2/25/2019 14:04,0,Snow Church,30,140,689.0725651
3480,2/25/2019 14:04,0,Sauer Center,109,291,589.9593206
3480,2/25/2019 14:04,0,Tobler Museum,247,235,270.7120241
3480,2/25/2019 14:04,0,Batty House,542,47,562.0053381
3480,2/25/2019 14:04,0,Lynch Station,605,172,594.9394927
3480,2/25/2019 14:04,0,Harvey House,154,470,140.8012784
3480,2/25/2019 14:04,0,Harris Hall,407,343,224.8399431
3675,3/11/2019 13:29,0,Golledge Hall,182,56,448.4963768
3675,3/11/2019 13:29,0,Harvey House,722,300,466.2713802
3675,3/11/2019 13:29,0,Sauer Center,155,243,526.8244489
3675,3/11/2019 13:29,0,Tobler Museum,344,332,257.4898056
3675,3/11/2019 13:29,0,Snow Church,86,150,632.3962365
3675,3/11/2019 13:29,0,Harris Hall,506,390,334.0314356
3675,3/11/2019 13:29,0,Lynch Station,-1,388,264.319882
3675,3/11/2019 13:29,0,Batty House,11,282,18.86796226
4003,10/16/2018 14:55,0,Batty House,11,204,69.85699679
4003,10/16/2018 14:55,0,Lynch Station,28,10,115.1173314
4003,10/16/2018 14:55,0,Harris Hall,305,66,183.5755975
4003,10/16/2018 14:55,0,Golledge Hall,398,289,166.0120478
4003,10/16/2018 14:55,0,Sauer Center,552,62,92.61749295
4003,10/16/2018 14:55,0,Tobler Museum,650,210,179.9805545
4003,10/16/2018 14:55,0,Snow Church,443,104,291.0841803
4003,10/16/2018 14:55,0,Harvey House,671,404,385.6034232
4085,2/11/2019 14:21,0,Tobler Museum,47,294,478.0167361
4085,2/11/2019 14:21,0,Golledge Hall,140,496,470.9575352
4085,2/11/2019 14:21,0,Snow Church,351,381,405.2172257
4085,2/11/2019 14:21,0,Harris Hall,310,212,96.02603814
4085,2/11/2019 14:21,0,Sauer Center,117,118,520.4161796
4085,2/11/2019 14:21,0,Lynch Station,358,87,347.9727001
4085,2/11/2019 14:21,0,Harvey House,642,45,560.9848483
4085,2/11/2019 14:21,0,Batty House,318,19,385.6034232
4085,2/11/2019 14:21,1,Tobler Museum,47,294,478.0167361
4085,2/11/2019 14:21,1,Golledge Hall,140,496,470.9575352
4085,2/11/2019 14:21,1,Snow Church,351,381,405.2172257
4085,2/11/2019 14:21,1,Harris Hall,310,212,96.02603814
4085,2/11/2019 14:21,1,Sauer Center,117,118,520.4161796
4085,2/11/2019 14:21,1,Lynch Station,358,87,347.9727001
4085,2/11/2019 14:21,1,Harvey House,642,45,560.9848483
4085,2/11/2019 14:21,1,Batty House,318,19,385.6034232
4118,2/1/2019 13:48,0,Batty House,574,15,604.3657833
